DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240206869,2/26/2024 0:00,2/26/2024 0:00,1000,2,Rampart,221,2,901,VIOLATION OF RESTRAINING ORDER,1817 2038 0913,37,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,901,,,,300 N  NEW HAMPSHIRE                AV,,34.0763,-118.2932
241315337,12/6/2024 0:00,12/4/2024 0:00,935,13,Newton,1323,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,33,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1000 E  25TH                         ST,,34.0202,-118.2557
241311818,7/30/2024 0:00,7/27/2024 0:00,2315,13,Newton,1309,1,330,BURGLARY FROM VEHICLE,0344 1307,26,M,B,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,1100    MATEO                        ST,,34.0306,-118.2322
241215035,9/6/2024 0:00,9/2/2024 0:00,1100,12,77th Street,1211,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202,74,M,B,514,GROUP HOME,,,IC,Invest Cont,440,,,,5300    ARLINGTON                    AV,,33.995,-118.3182
241309110,5/6/2024 0:00,5/6/2024 0:00,1555,13,Newton,1313,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,36,F,H,723,PRIVATE SCHOOL/PRESCHOOL,,,IC,Invest Cont,341,,,,1500    ESSEX                        ST,,34.0281,-118.2487
240706421,2/27/2024 0:00,2/27/2024 0:00,1410,7,Wilshire,736,1,210,ROBBERY,1309 0213 0302 0355,39,M,W,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,3RD,COCHRAN,34.0692,-118.3472
240608696,4/23/2024 0:00,4/6/2024 0:00,2155,6,Hollywood,666,1,330,BURGLARY FROM VEHICLE,1501,32,M,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,6200 W  SUNSET                       BL,,34.098,-118.3237
241216819,11/5/2024 0:00,10/7/2024 0:00,1100,12,77th Street,1232,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SLAUSON                      AV,CRENSHAW                     BL,33.989,-118.3309
241005678,2/16/2024 0:00,2/16/2024 0:00,1815,10,West Valley,1008,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1414,38,M,W,102,SIDEWALK,,,IC,Invest Cont,745,,,,7000    HAYVENHURST                  AV,,34.1975,-118.4924
240507128,3/23/2024 0:00,3/7/2024 0:00,1758,5,Harbor,563,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,41,F,B,145,MAIL BOX,,,IC,Invest Cont,440,,,,800 W  18TH                         ST,,33.7279,-118.2946
241216204,10/12/2024 0:00,8/12/2024 0:00,315,12,77th Street,1204,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,35,F,H,101,STREET,,,IC,Invest Cont,740,,,,1500 W  46TH                         ST,,34.0019,-118.3036
240119535,9/28/2024 0:00,9/28/2024 0:00,1430,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0325,0,M,O,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
241311473,7/23/2024 0:00,7/22/2024 0:00,2000,13,Newton,1323,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SAN PEDRO                    ST,25TH                         ST,34.0229,-118.2607
240314767,9/27/2024 0:00,9/27/2024 0:00,648,3,Southwest,311,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1822,48,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,2600 S  DUNSMUIR                     AV,,34.0325,-118.3595
241000565,2/17/2024 0:00,2/17/2024 0:00,1930,10,West Valley,1039,1,210,ROBBERY,1281 0376 0448 0213 0334 0302 0337 0418 1822 0216,64,M,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,210,998,,,6400    WHITMAN                      AV,,34.1866,-118.4765
240116585,8/12/2024 0:00,8/12/2024 0:00,130,1,Central,174,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 S  MAIN                         ST,,34.0428,-118.2532
241412882,9/6/2024 0:00,1/21/2024 0:00,1400,14,Pacific,1483,2,354,THEFT OF IDENTITY,1501,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7600 W  MANCHESTER                   AV,,33.9597,-118.4307
240707732,3/30/2024 0:00,3/30/2024 0:00,1810,7,Wilshire,724,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,415,THE GROVE,,,AA,Adult Arrest,442,,,,100    THE GROVE                    DR,,34.0736,-118.3563
241006407,3/7/2024 0:00,3/7/2024 0:00,550,10,West Valley,1018,1,310,BURGLARY,0321 1822 0344 1609 0216 0202 0206 0209,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,15700    STRATHERN                    ST,,34.2157,-118.4749
242004954,1/20/2024 0:00,1/20/2024 0:00,2340,20,Olympic,2049,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0444 1814 0340 0448 0429 2000 0416 0400 0419,18,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,2700    SAN MARINO                   ST,,34.0564,-118.2879
240608561,4/17/2024 0:00,4/13/2024 0:00,1031,6,Hollywood,645,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1501,42,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,7000    HOLLYWOOD                    BL,,34.1015,-118.3417
240111565,5/18/2024 0:00,5/18/2024 0:00,1740,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MATEO,SANTA FE,34.0419,-118.2328
240314725,9/26/2024 0:00,9/25/2024 0:00,30,3,Southwest,337,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1300 1822 0344,27,M,W,101,STREET,,,IC,Invest Cont,420,,,,2900 S  HARVARD                      BL,,34.0291,-118.3067
240110194,4/12/2024 0:00,4/11/2024 0:00,2319,1,Central,164,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329,21,F,B,101,STREET,,,IC,Invest Cont,330,,,,600 S  LOS ANGELES                  ST,,34.0446,-118.2507
240908569,4/29/2024 0:00,4/29/2024 0:00,710,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,0416 0603,60,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,14100    FRIAR                        ST,,34.1857,-118.44
241207753,3/4/2024 0:00,2/28/2024 0:00,1600,12,77th Street,1273,1,310,BURGLARY,344,52,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,9100 S  WESTERN                      AV,,33.9545,-118.309
240405322,2/11/2024 0:00,2/8/2024 0:00,1815,4,Hollenbeck,459,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0311,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,745,,,,500 N  INDIANA                      ST,,34.0434,-118.1925
240209782,5/14/2024 0:00,5/13/2024 0:00,1445,2,Rampart,246,2,888,TRESPASSING,0910 1822 2004,0,X,X,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
240315361,10/15/2024 0:00,10/7/2024 0:00,1955,3,Southwest,327,1,480,BIKE - STOLEN,1822 0344,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,480,,,,2600    MAGNOLIA                     AV,,34.0328,-118.2865
242005092,1/26/2024 0:00,1/26/2024 0:00,1745,20,Olympic,2093,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0431 0449 0913 1202 1820 1402 0334 0361 0603,61,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",217,SWORD,IC,Invest Cont,230,998,,,1900 S  OXFORD                       AV,,34.0399,-118.3079
241204642,1/10/2024 0:00,1/10/2024 0:00,1800,12,77th Street,1256,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0319 0400 0444 0429 1814 2000,19,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,900 W  75TH                         ST,,33.9717,-118.2898
240410970,10/22/2024 0:00,10/17/2024 0:00,2000,4,Hollenbeck,477,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,SOTO                         ST,34.0372,-118.2132
240808144,5/2/2024 0:00,5/2/2024 0:00,700,8,West LA,899,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CATTARAUGUS,REGENT,34.0337,-118.3853
240905554,2/12/2024 0:00,2/12/2024 0:00,1805,9,Van Nuys,998,1,330,BURGLARY FROM VEHICLE,0344 1822 1609,29,F,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,330,,,,12900    VENTURA                      BL,,34.1451,-118.4137
240207101,3/1/2024 0:00,3/1/2024 0:00,730,2,Rampart,237,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0913 0329,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,1600    BEVERLY                      BL,,34.0634,-118.2631
240807628,4/5/2024 0:00,3/7/2024 0:00,1330,8,West LA,807,2,354,THEFT OF IDENTITY,1822 0928,59,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2600 N  BEVERLY GLEN                 BL,,34.1172,-118.4461
241514882,10/26/2024 0:00,10/25/2024 0:00,1945,15,N Hollywood,1563,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,12000    LANDALE                      ST,,34.1522,-118.3943
241315418,12/9/2024 0:00,9/16/2024 0:00,2200,13,Newton,1373,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,31,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,CENTRAL                      AV,54TH                         ST,33.9935,-118.2565
241304446,1/10/2024 0:00,1/9/2024 0:00,1400,13,Newton,1317,1,330,BURGLARY FROM VEHICLE,1307 1609 0358 0344,43,M,O,101,STREET,,,IC,Invest Cont,330,,,,1600 E  WASHINGTON                   BL,,34.0207,-118.2438
240906592,3/10/2024 0:00,3/9/2024 0:00,1330,9,Van Nuys,914,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814,33,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6900    KESTER                       AV,,34.196,-118.4575
240205661,1/31/2024 0:00,1/31/2024 0:00,845,2,Rampart,279,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,28,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1000    VALENCIA                     ST,,34.0484,-118.2724
240122951,12/26/2024 0:00,12/26/2024 0:00,1530,1,Central,128,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,44,F,O,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341,,,,100    JAPANESE VILLAGE PLAZA       ML,,34.0498,-118.24
241006225,3/2/2024 0:00,2/29/2024 0:00,800,10,West Valley,1091,1,310,BURGLARY,0344 1822 0352 0321 1609 0358,52,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,4100    ALEMAN                       DR,,34.1442,-118.5643
240712828,11/23/2024 0:00,11/23/2024 0:00,2220,7,Wilshire,711,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,25,F,Z,102,SIDEWALK,,,IC,Invest Cont,740,,,,300 N  FAIRFAX                      AV,,34.0782,-118.3695
240509627,6/6/2024 0:00,6/5/2024 0:00,1645,5,Harbor,563,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1601,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,331,,,,1200 S  GAFFEY                       ST,,33.7331,-118.2924
241008346,4/30/2024 0:00,4/29/2024 0:00,2000,10,West Valley,1021,1,520,VEHICLE - ATTEMPT STOLEN,1822 1300 1307,49,M,H,101,STREET,,,IC,Invest Cont,520,,,,7100    SHIRLEY                      AV,,34.1993,-118.5579
241707831,4/2/2024 0:00,4/2/2024 0:00,700,17,Devonshire,1713,1,761,BRANDISH WEAPON,0334 1300 1310 1822,51,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,761,,,,11500    BAIRD                        AV,,34.2803,-118.5389
241110229,8/26/2024 0:00,8/24/2024 0:00,2300,11,Northeast,1112,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,32,F,P,710,OTHER PREMISE,,,IC,Invest Cont,740,,,,4200    VERDUGO                      RD,,34.1271,-118.2321
241714354,11/20/2024 0:00,11/17/2024 0:00,1200,17,Devonshire,1794,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,18100    PARTHENIA                    ST,,34.2287,-118.5273
240606007,2/10/2024 0:00,2/10/2024 0:00,2150,6,Hollywood,657,1,210,ROBBERY,0448 0444 1601 0945 0216 0913 2028,0,X,X,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,900 N  WESTERN                      AV,,34.0875,-118.3092
240710664,7/6/2024 0:00,7/5/2024 0:00,1635,7,Wilshire,752,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,343,,,,1000 S  FAIRFAX                      AV,,34.0558,-118.3706
242008492,4/24/2024 0:00,4/23/2024 0:00,2200,20,Olympic,2034,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  NORMANDIE                    AV,,34.0596,-118.3022
241414198,10/16/2024 0:00,9/28/2024 0:00,1,14,Pacific,1425,1,330,BURGLARY FROM VEHICLE,0344 1300,46,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,3200    SAWTELLE                     BL,,34.0209,-118.4318
241109861,8/9/2024 0:00,7/26/2024 0:00,2300,11,Northeast,1132,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,X,X,504,OTHER RESIDENCE,,,IC,Invest Cont,740,,,,2700    AUBURN                       ST,,34.1079,-118.2666
240809836,7/27/2024 0:00,7/17/2024 0:00,705,8,West LA,805,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 1420 0344,31,M,W,104,DRIVEWAY,,,IC,Invest Cont,440,,,,2300    ROSCOMARE                    RD,,34.1016,-118.4698
240612646,10/15/2024 0:00,10/11/2024 0:00,230,6,Hollywood,636,1,330,BURGLARY FROM VEHICLE,1501 1822 0344 1300,48,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,6600    FRANKLIN                     AV,,34.1052,-118.3333
241305231,1/26/2024 0:00,1/26/2024 0:00,1415,13,Newton,1371,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1822 2033,49,F,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,100 W  58TH                         ST,,33.9897,-118.2739
241307637,3/21/2024 0:00,3/6/2024 0:00,945,13,Newton,1309,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1607,49,F,A,710,OTHER PREMISE,,,IC,Invest Cont,740,,,,1800 E  8TH                          ST,,34.0301,-118.2389
242112442,10/9/2024 0:00,10/9/2024 0:00,1057,21,Topanga,2147,2,354,THEFT OF IDENTITY,930,58,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7000    LURLINE                      AV,,34.1975,-118.5835
241800651,5/18/2024 0:00,5/18/2024 0:00,45,18,Southeast,1806,1,210,ROBBERY,1402 0400 0344 2024 2011 0429 0302 0337 1822,40,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998,,,92ND                         ST,CENTRAL,33.953,-118.2564
241707752,4/1/2024 0:00,3/1/2024 0:00,800,17,Devonshire,1708,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,12300    MCLENNAN                     AV,,34.2932,-118.501
241714974,12/15/2024 0:00,12/15/2024 0:00,1322,17,Devonshire,1764,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0378 0344 0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,9300    TAMPA                        AV,,34.244,-118.5583
241812308,8/17/2024 0:00,8/17/2024 0:00,2205,18,Southeast,1826,1,210,ROBBERY,1822 1300 0330 0916,24,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1600 E  103RD                        ST,,33.9485,-118.2461
240122802,12/18/2024 0:00,12/13/2024 0:00,1,1,Central,119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,69,F,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,500    RAMIREZ                      ST,,34.055,-118.2321
242104655,1/16/2024 0:00,1/16/2024 0:00,1900,21,Topanga,2141,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402 1602,30,M,X,101,STREET,,,IC,Invest Cont,740,998,,,24100    VICTORY                      BL,,34.1855,-118.6506
241006879,3/21/2024 0:00,3/20/2024 0:00,2030,10,West Valley,1077,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1402 1822 0329,0,M,O,108,PARKING LOT,,,IC,Invest Cont,740,998,,,16900    VENTURA                      BL,,34.1593,-118.5011
240208067,3/22/2024 0:00,3/4/2024 0:00,1000,2,Rampart,281,2,354,THEFT OF IDENTITY,1822 0100 0928 0931,36,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100 S  GRAND VIEW                   ST,,34.0512,-118.2829
240406793,4/4/2024 0:00,3/4/2024 0:00,1340,4,Hollenbeck,429,2,354,THEFT OF IDENTITY,100,47,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,3800    STOCKBRIDGE                  AV,,34.0896,-118.1634
240711021,8/28/2024 0:00,8/25/2024 0:00,100,7,Wilshire,713,2,354,THEFT OF IDENTITY,930,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,300 N  GARDNER                      ST,,34.0782,-118.3573
241405667,1/12/2024 0:00,1/7/2024 0:00,1932,14,Pacific,1469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344,41,F,H,402,MARKET,,,IC,Invest Cont,442,,,,6800    LA CIENEGA                   BL,,33.9761,-118.3726
240507571,4/3/2024 0:00,4/3/2024 0:00,2300,5,Harbor,557,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1817 0446 0417 0342 0913 0447 1816,31,M,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,600 W  5TH                          ST,,33.7397,-118.2902
241405598,1/31/2024 0:00,1/31/2024 0:00,1730,14,Pacific,1406,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,41,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,3700    MENTONE                      AV,,34.0221,-118.4068
241411658,7/29/2024 0:00,3/11/2024 0:00,551,14,Pacific,1488,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,8900    BELLANCA                     AV,,33.9562,-118.3805
240118303,9/10/2024 0:00,9/10/2024 0:00,1937,1,Central,142,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,40,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,400 S  HILL                         ST,,34.0519,-118.2531
241407891,3/25/2024 0:00,3/22/2024 0:00,700,14,Pacific,1496,1,330,BURGLARY FROM VEHICLE,344,35,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,9800    VICKSBURG                    AV,,33.9473,-118.394
240305327,1/26/2024 0:00,1/26/2024 0:00,100,3,Southwest,332,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2800    HILLCREST                    DR,,34.0311,-118.3429
241111446,10/16/2024 0:00,10/15/2024 0:00,1950,11,Northeast,1128,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 N  AVENUE 63,,34.1148,-118.1826
240506272,2/29/2024 0:00,2/29/2024 0:00,1815,5,Harbor,504,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1236,0,M,O,406,OTHER STORE,,,AA,Adult Arrest,442,,,,19500    NORMANDIE                    AV,,33.8542,-118.2992
240810820,9/16/2024 0:00,9/15/2024 0:00,19,8,West LA,811,2,354,THEFT OF IDENTITY,0930 1822,19,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16700    BOLLINGER                    DR,,34.048,-118.545
241207777,3/5/2024 0:00,3/4/2024 0:00,1000,12,77th Street,1255,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 0385 1822,24,F,H,101,STREET,,,IC,Invest Cont,420,,,,7200 S  HALLDALE                     AV,,33.9746,-118.3024
240111411,5/13/2024 0:00,5/13/2024 0:00,1910,1,Central,129,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609 1307,39,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,700 E  TEMPLE                       ST,,34.0502,-118.2336
241112210,11/18/2024 0:00,10/25/2024 0:00,1525,11,Northeast,1101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,31,F,H,108,PARKING LOT,,,IC,Invest Cont,440,,,,4700    CRYSTAL SPRINGS              DR,,34.1321,-118.2796
240507828,4/10/2024 0:00,4/10/2024 0:00,915,5,Harbor,503,1,310,BURGLARY,1822 0397 0344,34,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,1000    252ND                        ST,,33.7957,-118.2938
241207078,2/22/2024 0:00,2/22/2024 0:00,1300,12,77th Street,1256,2,624,BATTERY - SIMPLE ASSAULT,0416 0319,51,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7200 S  FIGUEROA                     ST,,33.9747,-118.2827
241010233,7/30/2024 0:00,6/6/2024 0:00,1600,10,West Valley,1068,1,330,BURGLARY FROM VEHICLE,1822 0344,50,F,B,101,STREET,,,IC,Invest Cont,330,,,,16600    MAGNOLIA                     BL,,34.1668,-118.4979
241707627,3/29/2024 0:00,3/28/2024 0:00,1915,17,Devonshire,1764,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,25,F,H,405,CLOTHING STORE,,,IC,Invest Cont,341,,,,9300    TAMPA                        AV,,34.244,-118.5583
240411122,10/28/2024 0:00,10/27/2024 0:00,1500,4,Hollenbeck,411,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,400 N  AVENUE 19,,34.078,-118.225
240109565,3/12/2024 0:00,3/12/2024 0:00,600,1,Central,121,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1822 0329,36,F,H,101,STREET,,,IC,Invest Cont,410,,,,DIAMOND                      ST,FIGUEROA                     ST,34.0589,-118.2526
241208003,3/8/2024 0:00,3/8/2024 0:00,1830,12,77th Street,1233,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800 W  SLAUSON                      AV,,33.9892,-118.3089
241508786,4/8/2024 0:00,4/8/2024 0:00,2130,15,N Hollywood,1505,2,624,BATTERY - SIMPLE ASSAULT,1258 0416 0447,10,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7300    LANKERSHIM                   BL,,34.203,-118.3878
240904670,1/20/2024 0:00,1/17/2024 0:00,1119,9,Van Nuys,984,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,60,M,W,104,DRIVEWAY,,,IC,Invest Cont,440,,,,14600    VALLEY VISTA                 BL,,34.149,-118.4537
241314907,11/19/2024 0:00,11/19/2024 0:00,100,13,Newton,1352,1,330,BURGLARY FROM VEHICLE,1307 0344,33,F,H,101,STREET,,,IC,Invest Cont,330,,,,400 E  43RD                         ST,,34.0057,-118.2669
240120547,10/21/2024 0:00,10/21/2024 0:00,1550,1,Central,161,1,210,ROBBERY,0334 0443,28,M,A,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,1000 W  8TH                          ST,,34.0487,-118.2627
242107020,3/18/2024 0:00,3/18/2024 0:00,2215,21,Topanga,2146,2,886,DISTURBING THE PEACE,421,23,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,886,,,,6900    OWENSMOUTH                   AV,,34.1956,-118.6015
241609368,7/18/2024 0:00,7/17/2024 0:00,2200,16,Foothill,1651,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,9400    LAUREL CANYON                BL,,34.2414,-118.4137
240508711,5/4/2024 0:00,5/4/2024 0:00,1300,5,Harbor,516,1,310,BURGLARY,0321 0344,40,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,310,,,,1300 N  FRIES                        AV,,33.7887,-118.2656
240200925,12/5/2024 0:00,12/4/2024 0:00,1700,2,Rampart,246,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0104 0344,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,341,,,,ALVARADO                     ST,6TH                          ST,34.0595,-118.2749
240904510,1/16/2024 0:00,1/15/2024 0:00,2145,9,Van Nuys,901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,7300 N  SEPULVEDA                    BL,,34.2085,-118.4698
